date,close
2024-01-01,100.0000
2024-01-02,100.5241
2024-01-03,101.0407
2024-01-04,101.5423
2024-01-05,102.0218
2024-01-06,102.4725
2024-01-07,102.8884
2024-01-08,103.2640
2024-01-09,103.5947
2024-01-10,103.8766
2024-01-11,104.1071
2024-01-12,104.2843
2024-01-13,104.4074
2024-01-14,104.4767
2024-01-15,104.4936
2024-01-16,104.4603
2024-01-17,104.3802
2024-01-18,104.2575
2024-01-19,104.0971
2024-01-20,103.9047
2024-01-21,103.6865
2024-01-22,103.4492
2024-01-23,103.1998
2024-01-24,102.9455
2024-01-25,102.6934
2024-01-26,102.4507
2024-01-27,102.2240
2024-01-28,102.0197
2024-01-29,101.8436
2024-01-30,101.7010
2024-01-31,101.5960
2024-02-01,101.5324
2024-02-02,101.5126
2024-02-03,101.5383
2024-02-04,101.6101
2024-02-05,101.7276
2024-02-06,101.8893
2024-02-07,102.0929
2024-02-08,102.3350
2024-02-09,102.6115
2024-02-10,102.9173
2024-02-11,103.2469
2024-02-12,103.5941
2024-02-13,103.9523
2024-02-14,104.3146
2024-02-15,104.6741
2024-02-16,105.0238
2024-02-17,105.3567
2024-02-18,105.6665
2024-02-19,105.9470
2024-02-20,106.1927
2024-02-21,106.3988
2024-02-22,106.5612
2024-02-23,106.6768
2024-02-24,106.7433
2024-02-25,106.7596
2024-02-26,106.7255
2024-02-27,106.6417
2024-02-28,106.5103
2024-02-29,106.3339
2024-03-01,106.1165
2024-03-02,105.8626
2024-03-03,105.5778
2024-03-04,105.2681
2024-03-05,104.9402
2024-03-06,104.6011
2024-03-07,104.2582
2024-03-08,103.9191
2024-03-09,103.5911
2024-03-10,103.2816
2024-03-11,102.9975
2024-03-12,102.7455
2024-03-13,102.5314
2024-03-14,102.3605
2024-03-15,102.2374
2024-03-16,102.1655
2024-03-17,102.1476
2024-03-18,102.1851
2024-03-19,102.2786
2024-03-20,102.4277
2024-03-21,102.6308
2024-03-22,102.8852
2024-03-23,103.1876
2024-03-24,103.5335
2024-03-25,103.9177
2024-03-26,104.3342
2024-03-27,104.7767
2024-03-28,105.2381
2024-03-29,105.7113
2024-03-30,106.1889
2024-03-31,106.6635
2024-04-01,107.1278
2024-04-02,107.5748
2024-04-03,107.9981
2024-04-04,108.3916
2024-04-05,108.7500
2024-04-06,109.0686
2024-04-07,109.3440
2024-04-08,109.5732
2024-04-09,109.7545
2024-04-10,109.8872
2024-04-11,109.9715
2024-04-12,110.0088
2024-04-13,110.0014
2024-04-14,109.9524
2024-04-15,109.8660
2024-04-16,109.7470
2024-04-17,109.6009
2024-04-18,109.4340
2024-04-19,109.2526
2024-04-20,109.0637
2024-04-21,108.8741
2024-04-22,108.6908
2024-04-23,108.5206
2024-04-24,108.3700
2024-04-25,108.2451
2024-04-26,108.1514
2024-04-27,108.0938
2024-04-28,108.0762
2024-04-29,108.1020
2024-04-30,108.1733
2024-05-01,108.2915
2024-05-02,108.4567
2024-05-03,108.6683
2024-05-04,108.9244
2024-05-05,109.2223
2024-05-06,109.5582
2024-05-07,109.9278
2024-05-08,110.3256
2024-05-09,110.7457
2024-05-10,111.1816
2024-05-11,111.6264
2024-05-12,112.0730
2024-05-13,112.5140
2024-05-14,112.9422
2024-05-15,113.3505
2024-05-16,113.7320
2024-05-17,114.0806
2024-05-18,114.3905
2024-05-19,114.6565
2024-05-20,114.8746
2024-05-21,115.0414
2024-05-22,115.1545
2024-05-23,115.2126
2024-05-24,115.2153
2024-05-25,115.1634
2024-05-26,115.0588
2024-05-27,114.9041
2024-05-28,114.7032
2024-05-29,114.4607
2024-05-30,114.1819
2024-05-31,113.8731
2024-06-01,113.5408
2024-06-02,113.1922
2024-06-03,112.8346
2024-06-04,112.4757
2024-06-05,112.1228
2024-06-06,111.7835
2024-06-07,111.4648
2024-06-08,111.1733
2024-06-09,110.9152
2024-06-10,110.6958
2024-06-11,110.5197
2024-06-12,110.3907
2024-06-13,110.3115
2024-06-14,110.2840
2024-06-15,110.3088
2024-06-16,110.3857
2024-06-17,110.5134
2024-06-18,110.6895
2024-06-19,110.9107
